# front | back | emoji | category | favourite | added | lastSeen | seen | penalty | level | comment
#
# The above header line is the schema of this file. Use it when creating new cards, along
# with the detailed description of each field which follows.
#
# front :: string, non-empty
#   - Gives the foreign translation of the text.
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# back :: string, non-empty
#   - Gives the native translation of the text (English).
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# emoji :: string, or empty.
#   - When available, represents a visual cue to aid in memorization.
#   - When generating new cards, only use emoji when for single word translation cards when there is a strong match.
#   - When generating new cards, never use an emoji if the card is a sentence or Conversational.
#
# category :: string, non-empty, of values: Noun, Verb, Adjective, Adverb, Conversational, Conjugation
#   - When generating new cards, only choose from the above stated categories.
#   - Capitalize the first character.
#   - If clearly a noun, verb, adjective or adverb then use those categories.
#   - If it is a sentence or part of a sentence, then use Conversational.
#   - If it is a word but fits none of the above cleanly, then use Conversational.
#   - If in doubt, use Conversational.
#
# added :: date in YYYY-MM-DD form, or empty.
#   - Gives the date on which the card was added to the user's deck.
#   - When generating new cards, use the current local date for added.
#
# lastSeen :: date in YYYY-MM-DD form, or empty.
#   - Gives the last date this card was seen by user.
#   - When generating new cards, use 1970-01-01 for lastSeen.
#
# seen :: integer (count) or empty.
#   - Gives the number of times this card has been seen by user.
#   - When generating new cards, use 0 for seen.
#
# penalty :: integer
#   - Represents a score, that gets higher when the user ranks the card hard.
#   - Increases as the card is shown repeatedly and ranked hard.
#   - Increases faster if the card is ranked hard on each presentation.
#   - An empty penalty means the card has not been seen and should correpond with seen=0.
#   - When generating new cards, leave the penalty column empty.
#
# level :: string of (Hard, Core, Easy, Cold)
#   - Hard: the user finds the card very hard; shown in the Hard set and included in Normal.
#   - Core: normally difficult; shown in Normal and New sets.
#   - Easy: too easy; shown only when studying the Review set.
#   - Cold: snoozed indefinitely; not shown in any game mode.
#   - When generating new cards, populate level as Hard.
#
# comment :: string
#   - Useful for learning tips.
#   - For example, explaining why on a given translation ser is used instead of estar.
#   - For example, explaining why on a given translation preterit is used instead of imperfect.
#   - When generating new cards, leave comment blank.
#
# Example new row:
# bonjour | hello |  | Conversational | false | 2026-03-21 | 1970-01-01 | 0 | | Hard |
#
# Content :: Vocabulary study
#   - This file is for building vocabulary through words and short sentences or Conversationals.
#   - Sentence cards should prefer sentence structure that is natural in Spanish.
#   - Sentence cards should prefer sentences that are useful and someone may actually use.
#   - Sentence cards should prefer proper capitalization and punctuate properly.
#   - Consider the article: Spanish sometimes uses it, sometimes not. Prefer natural, common usage.
#   - If the English needs some clarification or disambiguation, use a bracketed clarifying word: e.g. "to return (something)"
#   - If the Spanish translates to two related English words, separate those English words with a '/'.
#   - If the English translates to two related Spanish words, separate those Spanish words with a '/'.
#
# Convention :: when generating a noun card (category=Noun)
#   - Prefer the singular, unless the singular is not used.
#   - Use the article, le or la in front of the Spanish noun.
#   - Comma separates the cells in a table row.
#   - Semicolon separates the rows in a table.
#
# Convention :: when generating an adjective card (category=Adjective)
#   - If the adjective has masculine and feminine forms then list both as <masculine>, o <feminine>
#   - For example: rojo, o roja
#   - If the adjective has only one form, then just use that alone.
#
# Convention :: when generating a verb card (category=Verb)
#   - A verb card may show a verb infinitive as the Spanish, in which case the English should start with the word 'to'.
#   - A verb card may show nothing more than a conjugated form, in which case the Spanish article should be bracketed to show it is optionally used.
#   - For the article of the third person singular, use (él/ella/usted)
#   - For the article of the third person plural, use (ellos/ellas/ustedes)
#   - Don't create cards of conjugations for vosotros.
#
# *** If you notice a bug or error in these translations, always call them out ***
#

# >>> Basics
Bonjour | Hello / Good morning |  | Conversational | false | 2026-04-07 | 2026-09-14 | 11 | 0.1285 | Easy | 
À droite | To the right |  | Conversational | false | 2026-04-07 | 2026-09-18 | 12 | 0.1950 | Core | 
Tout droit | Straight ahead |  | Conversational | false | 2026-04-07 | 2026-09-18 | 14 | 0.1271 | Core | 
Je voudrais… | I would like… |  | Conversational | false | 2026-04-07 | 2026-09-17 | 11 | 0.0686 | Easy | 
Je prends… | I’ll take… |  | Conversational | false | 2026-04-07 | 2026-09-17 | 20 | 0.2129 | Core | 
L’addition, s’il vous plaît | The bill, please |  | Conversational | false | 2026-04-07 | 2026-09-16 | 11 | 0.0933 | Easy | 
C’est combien? | How much is it? |  | Conversational | false | 2026-04-07 | 2026-08-29 | 1 | 0.0000 | Core | 
Je peux payer par carte? | Can I pay by card? |  | Conversational | false | 2026-04-07 | 2026-09-16 | 12 | 0.0807 | Core | 
Un | One |  | Conversational | false | 2026-04-07 | 2026-09-17 | 7 | 0.1176 | Easy | 
Deux | Two |  | Conversational | false | 2026-04-07 | 2026-09-09 | 8 | 0.1176 | Easy | 
Trois | Three |  | Conversational | false | 2026-04-07 | 2026-09-09 | 11 | 0.1311 | Easy | 
Quatre | Four |  | Conversational | false | 2026-04-07 | 2026-09-12 | 7 | 0.1176 | Easy | 
Cinq | Five |  | Conversational | false | 2026-04-07 | 2026-09-14 | 7 | 0.1176 | Easy | 
Six | Six |  | Conversational | false | 2026-04-07 | 2026-09-18 | 11 | 0.0980 | Easy | 
Sept | Seven |  | Conversational | false | 2026-04-07 | 2026-09-18 | 13 | 0.1082 | Easy | 
Huit | Eight |  | Conversational | false | 2026-04-07 | 2026-09-09 | 7 | 0.1176 | Easy | 
Neuf | Nine |  | Conversational | false | 2026-04-07 | 2026-09-15 | 9 | 0.1153 | Easy | 
Dix | Ten |  | Conversational | false | 2026-04-07 | 2026-09-17 | 9 | 0.0824 | Easy | 
Janvier | January |  | Conversational | false | 2026-04-07 | 2026-09-17 | 7 | 0.1176 | Easy | 
Février | February |  | Conversational | false | 2026-04-07 | 2026-09-18 | 14 | 0.1886 | Core | 
Mars | March |  | Conversational | false | 2026-04-07 | 2026-09-02 | 6 | 0.1681 | Easy | 
Avril | April |  | Conversational | false | 2026-04-07 | 2026-09-06 | 8 | 0.1647 | Easy | 
Mai | May |  | Conversational | false | 2026-04-07 | 2026-09-17 | 8 | 0.0824 | Core | 
Juin | June |  | Conversational | false | 2026-04-07 | 2026-09-16 | 13 | 0.1347 | Easy | 
Juillet | July |  | Conversational | false | 2026-04-07 | 2026-09-18 | 12 | 0.1286 | Core | 
Août | August |  | Conversational | false | 2026-04-07 | 2026-09-16 | 9 | 0.0576 | Easy | 
Septembre | September |  | Conversational | false | 2026-04-07 | 2026-09-16 | 7 | 0.1176 | Easy | 
Octobre | October |  | Conversational | false | 2026-04-07 | 2026-09-17 | 12 | 0.0702 | Easy | 
Novembre | November |  | Conversational | false | 2026-04-07 | 2026-09-01 | 1 | 0.0000 | Core | 
Décembre | December |  | Conversational | false | 2026-04-07 | 2026-09-12 | 7 | 0.1176 | Easy | 

# Verbs
être | to be |  | Verb | false | 2026-04-22 | 2026-09-18 | 11 | 0.0738 | Easy | 
avoir | to have |  | Verb | false | 2026-04-22 | 2026-09-16 | 14 | 0.0911 | Easy | 
aller | to go |  | Verb | false | 2026-04-22 | 2026-09-17 | 13 | 0.0924 | Easy | 
faire | to do / to make |  | Verb | false | 2026-04-22 | 2026-09-14 | 10 | 0.1153 | Easy | 
vouloir | to want |  | Verb | false | 2026-04-22 | 2026-09-18 | 14 | 0.0940 | Core | 
pouvoir | to be able to / can |  | Verb | false | 2026-04-22 | 2026-09-17 | 16 | 0.1789 | Core | 
devoir | to have to / must |  | Verb | false | 2026-04-22 | 2026-09-07 | 11 | 0.4587 | Easy | 
savoir | to know (a fact or skill) |  | Verb | false | 2026-04-22 | 2026-09-18 | 10 | 0.0807 | Core | savoir = to know facts/how to do things; connaître = to know people/places
connaître | to know (a person or place) |  | Verb | false | 2026-04-22 | 2026-09-18 | 13 | 0.1160 | Core | connaître = to know people/places; savoir = to know facts/skills
venir | to come |  | Verb | false | 2026-04-22 | 2026-09-16 | 10 | 0.1301 | Easy | 
prendre | to take / to have (food or drink) |  | Verb | false | 2026-04-22 | 2026-09-18 | 18 | 0.2620 | Core | 
manger | to eat |  | Verb | false | 2026-04-22 | 2026-09-17 | 12 | 0.1132 | Core | 
boire | to drink |  | Verb | false | 2026-04-22 | 2026-09-15 | 13 | 0.1358 | Easy | 
parler | to speak |  | Verb | false | 2026-04-22 | 2026-09-14 | 8 | 0.1544 | Easy | 
comprendre | to understand |  | Verb | false | 2026-04-22 | 2026-09-15 | 12 | 0.1091 | Easy | 
chercher | to look for |  | Verb | false | 2026-04-22 | 2026-09-16 | 10 | 0.1153 | Easy | 
arriver | to arrive |  | Verb | false | 2026-04-22 | 2026-09-16 | 7 | 0.1176 | Easy | 
partir | to leave / to depart |  | Verb | false | 2026-04-22 | 2026-09-17 | 14 | 0.0918 | Easy | 
rester | to stay |  | Verb | false | 2026-04-22 | 2026-09-16 | 11 | 0.1363 | Core | 
réserver | to reserve / to book |  | Verb | false | 2026-04-22 | 2026-09-16 | 8 | 0.1544 | Core | 
payer | to pay |  | Verb | false | 2026-04-22 | 2026-09-16 | 8 | 0.0824 | Easy | 
demander | to ask |  | Verb | false | 2026-04-22 | 2026-09-18 | 15 | 0.0955 | Core | 

# >>> Verb Tense Congugations
[je suis, ns. sommes; tu es, vs. êtes; il·elle est, ils·elles sont] | Present forms of 'être' (to be) |  | Present | false | 2026-04-22 | 2026-09-16 | 11 | 0.1333 | Core | 
[j'ai, ns. avons; tu as, vs. avez; il·elle a, ils·elles ont] | Present forms of 'avoir' (to have) |  | Present | false | 2026-04-22 | 2026-09-18 | 16 | 0.2294 | Core | 
[je vais, ns. allons; tu vas, vs. allez; il·elle va, ils·elles vont] | Present forms of 'aller' (to go) |  | Present | false | 2026-04-22 | 2026-09-18 | 18 | 0.3372 | Core | 
[je fais, ns. faisons; tu fais, vs. faites; il·elle fait, ils·elles font] | Present forms of 'faire' (to do / make) |  | Present | false | 2026-04-22 | 2026-09-18 | 24 | 0.4834 | Core | 
[je veux, ns. voulons; tu veux, vs. voulez; il·elle veut, ils·elles veulent] | Present forms of 'vouloir' (to want) |  | Present | false | 2026-04-22 | 2026-09-18 | 20 | 0.2972 | Core | 
[je peux, ns. pouvons; tu peux, vs. pouvez; il·elle peut, ils·elles peuvent] | Present forms of 'pouvoir' (to be able to / can) |  | Present | false | 2026-04-22 | 2026-09-18 | 17 | 0.1442 | Core | 
[je sais, ns. savons; tu sais, vs. savez; il·elle sait, ils·elles savent] | Present forms of 'savoir' (to know a fact / how to do something) |  | Present | false | 2026-04-22 | 2026-09-18 | 18 | 0.1459 | Core | savoir = to know facts/skills; connaître = to know people/places
[je connais, ns. connaissons; tu connais, vs. connaissez; il·elle connaît, ils·elles connaissent] | Present forms of 'connaître' (to know a person or place) |  | Present | false | 2026-04-22 | 2026-09-18 | 19 | 0.2363 | Core | connaître = to know people/places; savoir = to know facts/skills
[je viens, ns. venons; tu viens, vs. venez; il·elle vient, ils·elles viennent] | Present forms of 'venir' (to come) |  | Present | false | 2026-04-22 | 2026-09-18 | 20 | 0.4087 | Core | 
[je prends, ns. prenons; tu prends, vs. prenez; il·elle prend, ils·elles prennent] | Present forms of 'prendre' (to take / to have food or drink) |  | Present | false | 2026-04-22 | 2026-09-17 | 16 | 0.1973 | Core | prendre is used for ordering food/drink: Je prends le menu.
[je mange, ns. mangeons; tu manges, vs. mangez; il·elle mange, ils·elles mangent] | Present forms of 'manger' (to eat) |  | Present | false | 2026-04-22 | 2026-09-15 | 10 | 0.1753 | Core | 
[je bois, ns. buvons; tu bois, vs. buvez; il·elle boit, ils·elles boivent] | Present forms of 'boire' (to drink) |  | Present | false | 2026-04-22 | 2026-09-18 | 17 | 0.0841 | Core | 
[je parle, ns. parlons; tu parles, vs. parlez; il·elle parle, ils·elles parlent] | Present forms of 'parler' (to speak) |  | Present | false | 2026-04-22 | 2026-09-15 | 9 | 0.1071 | Easy | Regular -er verb. Serves as the model for all regular -er verbs.
[je comprends, ns. comprenons; tu comprends, vs. comprenez; il·elle comprend, ils·elles comprennent] | Present forms of 'comprendre' (to understand) |  | Present | false | 2026-04-22 | 2026-09-18 | 18 | 0.1260 | Easy | Conjugates like prendre.
[je cherche, ns. cherchons; tu cherches, vs. cherchez; il·elle cherche, ils·elles cherchent] | Present forms of 'chercher' (to look for) |  | Present | false | 2026-04-22 | 2026-09-18 | 9 | 0.0824 | Core | 
[je dois, ns. devons; tu dois, vs. devez; il·elle doit, ils·elles doivent] | Present forms of 'devoir' (must / to have to) |  | Present | false | 2026-04-22 | 2026-09-17 | 13 | 0.1978 | Core | 
[j'arrive, ns. arrivons; tu arrives, vs. arrivez; il·elle arrive, ils·elles arrivent] | Present forms of 'arriver' (to arrive) |  | Present | false | 2026-04-22 | 2026-09-18 | 10 | 0.0980 | Core | 
[je pars, ns. partons; tu pars, vs. partez; il·elle part, ils·elles partent] | Present forms of 'partir' (to leave / depart) |  | Present | false | 2026-04-22 | 2026-09-17 | 10 | 0.2610 | Core | 
[je reste, ns. restons; tu restes, vs. restez; il·elle reste, ils·elles restent] | Present forms of 'rester' (to stay) |  | Present | true | 2026-04-22 | 2026-09-18 | 9 | 0.0576 | Easy | 
[je réserve, ns. réservons; tu réserves, vs. réservez; il·elle réserve, ils·elles réservent] | Present forms of 'réserver' (to reserve / book) |  | Present | false | 2026-04-22 | 2026-09-18 | 9 | 0.1400 | Core | 
[je paie, ns. payons; tu paies, vs. payez; il·elle paie, ils·elles paient] | Present forms of 'payer' (to pay) |  | Present | false | 2026-04-22 | 2026-09-17 | 12 | 0.1032 | Core | 
[je demande, ns. demandons; tu demandes, vs. demandez; il·elle demande, ils·elles demandent] | Present forms of 'demander' (to ask) |  | Present | false | 2026-04-22 | 2026-09-15 | 7 | 0.1176 | Easy | 
