# front | back | emoji | category | favourite | added | lastSeen | seen | penalty | level | comment
#
# The above header line is the schema of this file. Use it when creating new cards, along
# with the detailed description of each field which follows.
#
# front :: string, non-empty
#   - Gives the foreign translation of the text.
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# back :: string, non-empty
#   - Gives the native translation of the text (English).
#   - When generating new cards, if using a sentence, then capitalize and punctuate correctly.
#
# emoji :: string, or empty.
#   - When available, represents a visual cue to aid in memorization.
#   - When generating new cards, only use emoji when for single word translation cards when there is a strong match.
#   - When generating new cards, never use an emoji if the card is a sentence or Conversational.
#
# category :: string, non-empty, freeform denoting topic of conversation
#   - Capitalize the first character.
#
# favourite :: true or false.
#   - Marks the card as a favourite for focused study.
#   - When generating new cards, use false.
#
# added :: date in YYYY-MM-DD form, or empty.
#   - Gives the date on which the card was added to the user's deck.
#   - When generating new cards, use the current local date for added.
#
# lastSeen :: date in YYYY-MM-DD form, or empty.
#   - Gives the last date this card was seen by user.
#   - When generating new cards, use 1970-01-01 for lastSeen.
#
# seen :: integer (count) or empty.
#   - Gives the number of times this card has been seen by user.
#   - When generating new cards, use 0 for seen.
#
# penalty :: integer
#   - Represents a score, that gets higher when the user ranks the card hard.
#   - Increases as the card is shown repeatedly and ranked hard.
#   - Increases faster if the card is ranked hard on each presentation.
#   - An empty penalty means the card has not been seen and should correpond with seen=0.
#   - When generating new cards, leave the penalty column empty.
#
# level :: string of (Hard, Core, Easy, Cold)
#   - Hard: the user finds the card very hard; shown in the Hard set and included in Normal.
#   - Core: normally difficult; shown in Normal and New sets.
#   - Easy: too easy; shown only when studying the Review set.
#   - Cold: snoozed indefinitely; not shown in any game mode.
#   - When generating new cards, populate level as Hard.
#
# comment :: string
#   - Useful for learning tips.
#   - For example, explaining why on a given translation ser is used instead of estar.
#   - For example, explaining why on a given translation preterit is used instead of imperfect.
#   - When generating new cards, leave comment blank.
#
# Example new row:
# hola | hello |  | Conversational | false | 2026-05-11 | 1970-01-01 | 0 | | Hard |
#
# Content :: Spanish Topics study


# Running
Corrí el Sporting Life 10K el fin de semana pasado. | I ran the Sporting Life 10K last weekend. |  | Running | false | 2026-05-10 | 2026-09-02 | 2 | 0.7000 | Core | 
Si entreno bien, creo que podría bajar de 42 minutos. | If I train well, I think I could break 42 minutes. |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
Me gustaría correr un maratón algún día, pero tendría que prepararme mucho. | I'd like to run a marathon someday, but I'd have to prepare a lot. |  | Running | false | 2026-05-10 | 2026-09-11 | 1 | 2.0000 | Core | 
No creo que pueda mejorar mi tiempo en una carrera tan montañosa. | I don't think I'll be able to improve my time on such a hilly course. |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
Espero que el tiempo sea bueno el día de la carrera. | I hope the weather is good on race day. |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
Ojalá llegue a los últimos kilómetros con energía. | Hopefully I'll reach the final kilometres with energy left. |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
¿Cuál es tu récord personal en 10K? | What's your personal best in the 10K? |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
¿Cuántas carreras has corrido este año? | How many races have you run this year? |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
¿Entrenas con un plan específico o más bien por intuición? | Do you train with a specific plan or more by feel? |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
¿Corres solo o con un club? | Do you run alone or with a club? |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
¿Te has lesionado alguna vez durante la preparación? | Have you ever gotten injured during training? |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 
Hay que ir a tope desde el principio sin poder guardarse nada. | You have to go all out from the start without being able to hold anything back. |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | ir a tope = to go all out / at full throttle; guardarse algo = to hold something back/in reserve.
Me lesioné la espalda | I injured my back |  | Running | false | 2026-05-10 | 2026-05-12 | 0 |  | Hard | 

# In a Restaurant
¿Tienen mesa para dos? | Do you have a table for two? |  | Restaurant | false | 2026-05-26 | 2026-08-25 | 5 | 0.2401 | Core | 
Tenemos reservación a nombre de Blair. | We have a reservation under Blair. |  | Restaurant | false | 2026-05-26 | 2026-09-04 | 6 | 0.1681 | Core | reservación is standard in Mexico; reserva is more common in Spain.
¿Nos puede traer la carta, por favor? | Could you bring us the menu, please? |  | Restaurant | false | 2026-05-26 | 2026-08-23 | 4 | 0.6430 | Core | 
¿Cuáles son los platillos más típicos de aquí? | What are the most typical dishes here? |  | Restaurant | false | 2026-05-26 | 2026-09-02 | 8 | 0.5423 | Core | platillo = dish; common in Mexico, less so in Spain where plato is preferred.
¿Qué me recomienda? | What do you recommend? |  | Restaurant | false | 2026-05-26 | 2026-08-31 | 7 | 0.1897 | Core | 
¿Cuál es el especial del día? | What is the daily special? |  | Restaurant | false | 2026-05-26 | 2026-09-11 | 7 | 0.3276 | Core | 
¿Lleva picante? | Does it contain chili / is it spicy? |  | Restaurant | false | 2026-05-26 | 2026-08-26 | 5 | 0.2401 | Core | ¿lleva...? = does it contain...? Natural way to ask about ingredients.
¿Cómo está preparado este platillo? | How is this dish prepared? |  | Restaurant | false | 2026-05-26 | 2026-08-25 | 8 | 0.4467 | Core | 
¿Me puede explicar qué lleva este platillo? | Can you tell me what's in this dish? |  | Restaurant | false | 2026-05-26 | 2026-09-02 | 7 | 0.2617 | Core | 
Quiero probar algo típico de la región. | I want to try something typical of the region. |  | Restaurant | false | 2026-05-26 | 2026-09-02 | 6 | 0.3151 | Core | 
¿Tienen opciones vegetarianas? | Do you have vegetarian options? |  | Restaurant | false | 2026-05-26 | 2026-08-23 | 4 | 0.5530 | Core | 
Para mí, el mole negro con arroz, por favor. | For me, the black mole with rice, please. |  | Restaurant | false | 2026-05-26 | 2026-09-01 | 6 | 0.5251 | Core | 
¿Nos trae más agua, por favor? | Could you bring us more water, please? |  | Restaurant | false | 2026-05-26 | 2026-09-11 | 7 | 0.2646 | Core | ¿nos trae...? = could you bring us...? Polite and natural.
¿Me puede traer otro tenedor, por favor? | Could you bring me another fork, please? |  | Restaurant | false | 2026-05-26 | 2026-08-23 | 5 | 0.2401 | Core | 
¿Qué tipo de carne lleva? | What type of meat does it contain? |  | Restaurant | false | 2026-05-26 | 2026-09-11 | 7 | 0.1176 | Easy | 
Está muy rico. ¿Cómo se llama este platillo? | This is delicious. What is this dish called? |  | Restaurant | false | 2026-05-26 | 2026-09-02 | 8 | 0.3077 | Core | muy rico = very delicious; common in Mexico. buenísimo also works.
¿La cuenta incluye el servicio? | Does the bill include service? |  | Restaurant | false | 2026-05-26 | 2026-08-25 | 8 | 1.1633 | Core | 
¿Nos trae la cuenta cuando pueda, por favor? | Could you bring us the bill when you get a chance, please? |  | Restaurant | false | 2026-05-26 | 2026-09-02 | 7 | 0.2926 | Core | cuando pueda = when you can; softens the request naturally.
¿Aceptan tarjeta de crédito? | Do you accept credit cards? |  | Restaurant | false | 2026-05-26 | 2026-09-11 | 4 | 0.3430 | Core | 
¿Podemos pagar por separado? | Can we pay separately? |  | Restaurant | false | 2026-05-26 | 2026-08-26 | 8 | 0.1328 | Core | 
Disculpe, creo que hay un error en la cuenta. | Excuse me, I think there is an error on the bill. |  | Restaurant | false | 2026-05-26 | 2026-09-02 | 5 | 0.6871 | Core | 
No como carne. ¿Hay algo sin carne? | I don't eat meat. Is there anything without meat? |  | Restaurant | false | 2026-05-26 | 2026-08-26 | 5 | 0.2401 | Core | 
Soy alérgico a los mariscos. | I'm allergic to seafood. |  | Restaurant | false | 2026-05-26 | 2026-09-11 | 6 | 0.6151 | Core | alérgico, o alérgica depending on speaker.
¿Tienen mesa afuera? Prefiero sentarme fuera. | Do you have a table outside? I prefer to sit outside. |  | Restaurant | false | 2026-05-26 | 2026-09-11 | 8 | 0.8618 | Core | 
Estuvo delicioso. Muchas gracias. | It was delicious. Thank you very much. |  | Restaurant | false | 2026-05-26 | 2026-08-25 | 7 | 0.8677 | Core | estuvo (preterit) = it was; used for a completed experience. Fue also works but estuvo is more natural here.

# In a Hotel
# front | back | emoji | category | favourite | added | lastSeen | seen | penalty | level | comment
Tengo una reservación a nombre de Blair. | I have a reservation under Blair. |  | Hotel | false | 2026-05-26 | 2026-08-26 | 5 | 0.2401 | Core | 
Quisiera hacer el check-in, por favor. | I'd like to check in, please. |  | Hotel | false | 2026-05-26 | 2026-09-11 | 9 | 0.2353 | Core | quisiera = I would like; softer and more polite than quiero.
¿A qué hora es el check-out? | What time is check-out? |  | Hotel | false | 2026-05-26 | 2026-08-26 | 5 | 0.2401 | Core | 
¿Es posible hacer un check-out tardío? | Is a late check-out possible? |  | Hotel | false | 2026-05-26 | 2026-08-26 | 6 | 0.9691 | Core | 
¿El desayuno está incluido? | Is breakfast included? |  | Hotel | false | 2026-05-26 | 2026-09-02 | 6 | 0.7000 | Core | 
¿Tienen wifi? ¿Cuál es la contraseña? | Do you have wifi? What is the password? |  | Hotel | false | 2026-05-26 | 2026-09-11 | 3 | 0.7900 | Core | 
¿Me puede llamar un taxi para mañana a las ocho? | Could you call me a taxi for tomorrow at eight? |  | Hotel | false | 2026-05-26 | 2026-09-01 | 5 | 0.3871 | Core | 
Hay un problema con la habitación. | There is a problem with the room. |  | Hotel | false | 2026-05-26 | 2026-08-23 | 4 | 0.3430 | Core | 
El aire acondicionado no funciona. | The air conditioning isn't working. |  | Hotel | false | 2026-05-26 | 2026-09-02 | 5 | 0.2401 | Core | 
¿Me puede dar más toallas, por favor? | Could you give me more towels, please? |  | Hotel | false | 2026-05-26 | 2026-08-24 | 3 | 0.4900 | Core | 
¿Tienen una caja fuerte en la habitación? | Is there a safe in the room? |  | Hotel | false | 2026-05-26 | 2026-09-02 | 6 | 0.3430 | Core | 
¿Pueden guardar mi equipaje hasta la tarde? | Can you store my luggage until this afternoon? |  | Hotel | false | 2026-05-26 | 2026-08-23 | 4 | 0.3430 | Core | 
¿Dónde puedo cambiar dinero cerca de aquí? | Where can I exchange money near here? |  | Hotel | false | 2026-05-26 | 2026-08-26 | 4 | 0.3430 | Core | 
¿Tienen un mapa de la ciudad? | Do you have a map of the city? |  | Hotel | false | 2026-05-26 | 2026-08-21 | 2 | 0.7000 | Easy | 
Quisiera pagar con tarjeta. | I'd like to pay by card. |  | Hotel | false | 2026-05-26 | 2026-08-23 | 2 | 0.7000 | Core | 
¿Me puede dar un recibo, por favor? | Could you give me a receipt, please? |  | Hotel | false | 2026-05-26 | 2026-09-02 | 6 | 0.2710 | Core | 

# Shopping

# In a Taxi or bus

# Vacation Tour Guides and Activities

# Small Talk on Vacation
Soy canadiense, de Toronto. | I'm Canadian, from Toronto. |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 6 | 0.1681 | Core | 
Estoy aquí de vacaciones por una semana. | I'm here on vacation for a week. |  | Small Talk | false | 2026-05-26 | 2026-08-26 | 5 | 0.7630 | Core | 
Es la primera vez que vengo a México. | It's my first time coming to Mexico. |  | Small Talk | false | 2026-05-26 | 2026-09-11 | 8 | 0.7254 | Core | 
Ya había visitado México antes, pero nunca esta región. | I had visited Mexico before, but never this region. |  | Small Talk | false | 2026-05-26 | 2026-09-04 | 6 | 1.0309 | Core | 
Estoy aprendiendo español. Todavía me falta mucho. | I'm learning Spanish. I still have a long way to go. |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 6 | 0.4802 | Core | me falta mucho = I have a lot left to go; natural and humble.
Entiendo bastante bien, pero me cuesta hablar rápido. | I understand fairly well, but speaking fast is hard for me. |  | Small Talk | false | 2026-05-26 | 2026-09-11 | 5 | 1.0430 | Core | 
¿Me puede hablar un poco más despacio, por favor? | Could you speak a little more slowly, please? |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 5 | 0.5971 | Core | 
¿Cómo se dice esto en español? | How do you say this in Spanish? |  | Small Talk | false | 2026-05-26 | 2026-08-24 | 1 | 0.0000 | Core | 
Perdón, no entendí bien. ¿Lo puede repetir? | Sorry, I didn't quite understand. Could you repeat that? |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 5 | 1.1330 | Core | 
Me encanta este lugar. La gente es muy amable. | I love this place. The people are very friendly. |  | Small Talk | false | 2026-05-26 | 2026-09-11 | 6 | 0.6430 | Core | 
La comida aquí es increíble. No me esperaba que fuera tan buena. | The food here is incredible. I didn't expect it to be this good. |  | Small Talk | false | 2026-05-26 | 2026-08-26 | 6 | 1.0430 | Core | 
¿Qué me recomienda visitar por aquí? | What do you recommend visiting around here? |  | Small Talk | false | 2026-05-26 | 2026-09-01 | 4 | 0.8330 | Core | 
¿Vale la pena ir al mercado por la mañana? | Is it worth going to the market in the morning? |  | Small Talk | false | 2026-05-26 | 2026-08-26 | 3 | 0.7000 | Core | 
¿Hay algo que no me deba perder antes de irme? | Is there anything I shouldn't miss before I leave? |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 9 | 0.6076 | Core | 
¿A qué distancia está el centro desde aquí? | How far is the centre from here? |  | Small Talk | false | 2026-05-26 | 2026-09-11 | 6 | 0.3361 | Core | 
Trabajo en tecnología, en una empresa en Toronto. | I work in technology, at a company in Toronto. |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 4 | 0.3430 | Core | 
También me gusta correr. Salgo a correr casi todos los días. | I also like running. I go running almost every day. |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 6 | 1.0301 | Core | 
¿Hay un buen lugar para correr cerca de aquí? | Is there a good place to run near here? |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 4 | 0.4900 | Core | 
En Toronto hace mucho frío en invierno. Por eso me gusta viajar en esta época. | In Toronto it gets very cold in winter. That's why I like to travel at this time of year. |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 5 | 0.4802 | Core | 
¿Usted es de aquí? ¿Nació en esta ciudad? | Are you from here? Were you born in this city? |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 3 | 1.0000 | Core | 
¿Cómo es el clima aquí en esta época del año? | What is the weather like here at this time of year? |  | Small Talk | false | 2026-05-26 | 2026-09-11 | 4 | 1.3430 | Core | 
Ha sido un viaje increíble. Me voy con muy buenos recuerdos. | It's been an incredible trip. I'm leaving with very good memories. |  | Small Talk | false | 2026-05-26 | 2026-09-11 | 2 | 2.0000 | Core | 
Ojalá pueda volver pronto. | Hopefully I can come back soon. |  | Small Talk | false | 2026-05-26 | 2026-09-11 | 4 | 1.1060 | Core | ojalá = hopefully / I hope; from Arabic inshallah, used constantly in Spanish.
Muchas gracias por todo. Ha sido un placer. | Thank you very much for everything. It's been a pleasure. |  | Small Talk | false | 2026-05-26 | 2026-09-02 | 2 | 1.4000 | Core | 
¿Me puedo tomar una foto aquí? | Can I take a photo (selfie) here? |  | Small Talk | false | 2026-05-26 | 2026-09-11 | 4 | 0.3430 | Core | tomarse una foto = to take a photo of oneself / here; natural in Latin American Spanish.

