#front|back|emoji|category|added|lastSeen|seen|penalty|level
¿qué? | what |  | question word | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
¿quién? | who |  | question word | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
¿quiénes? | who (plural) |  | question word | 2026-03-10 | 2026-03-12 | 5 | 11 | -1
¿dónde? | where |  | question word | 2026-03-10 | 2026-03-10 | 2 | 2 | -1
¿cuándo? | when |  | question word | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
¿por qué? | why |  | question word | 2026-03-10 | 2026-03-11 | 3 | 7 | -1
¿cómo? | how |  | question word | 2026-03-10 | 2026-03-12 | 5 | 8 | -1
¿cuánto? | how much |  | question word | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
¿cuántos? | how many |  | question word | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
¿cuál? | which |  | question word | 2026-03-10 | 2026-03-13 | 3 | 7 | -1
¿cuáles? | which (plural) |  | question word | 2026-03-10 | 2026-03-12 | 6 | 11 | 0
cero | zero |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
uno | one |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
dos | two |  | miscellaneous | 2026-03-10 | 2026-03-10 | 1 | 0 | -1
tres | three |  | miscellaneous | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
cuatro | four |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 3 | -1
cinco | five |  | miscellaneous | 2026-03-10 | 2026-03-11 | 2 | 3 | -1
seis | six |  | miscellaneous | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
siete | seven |  | miscellaneous | 2026-03-10 | 2026-03-11 | 3 | 7 | -1
ocho | eight |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
nueve | nine |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
diez | ten |  | miscellaneous | 2026-03-10 | 2026-03-11 | 2 | 3 | -1
once | eleven |  | miscellaneous | 2026-03-10 | 2026-03-10 | 1 | 0 | -1
doce | twelve |  | miscellaneous | 2026-03-10 | 2026-03-13 | 2 | 5 | -1
trece | thirteen |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 3 | -1
catorce | fourteen |  | miscellaneous | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
quince | fifteen |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 4 | -1
veinte | twenty |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
treinta | thirty |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 3 | -1
cuarenta | forty |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
cincuenta | fifty |  | miscellaneous | 2026-03-10 | 2026-03-12 | 4 | 6 | -1
cien | one hundred |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
lunes | Monday |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
martes | Tuesday |  | miscellaneous | 2026-03-10 | 2026-03-12 | 4 | 8 | -1
miércoles | Wednesday |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
jueves | Thursday |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
viernes | Friday |  | miscellaneous | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
sábado | Saturday |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
domingo | Sunday |  | miscellaneous | 2026-03-10 | 2026-03-11 | 2 | 6 | -1
enero | January |  | miscellaneous | 2026-03-10 | 2026-03-13 | 3 | 5 | -1
febrero | February |  | miscellaneous | 2026-03-10 | 2026-03-13 | 7 | 12 | 0
marzo | March |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
abril | April |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
mayo | May |  | miscellaneous | 2026-03-10 | 2026-03-11 | 4 | 8 | -1
junio | June |  | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
julio | July |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
agosto | August |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 3 | -1
septiembre | September |  | miscellaneous | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
octubre | October |  | miscellaneous | 2026-03-10 | 2026-03-13 | 7 | 13 | 0
noviembre | November |  | miscellaneous | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
diciembre | December |  | miscellaneous | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la familia | family |  | noun | 2026-03-10 | 2026-03-11 | 3 | 7 | -1
el padre | father |  | noun | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
la madre | mother |  | noun | 2026-03-10 | 2026-03-10 | 1 | 0 | -1
el hermano | brother |  | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la hermana | sister |  | noun | 2026-03-10 | 2026-03-11 | 2 | 3 | -1
el abuelo | grandfather |  | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la abuela | grandmother |  | noun | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
el hijo | son |  | noun | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
la hija | daughter |  | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el tío | uncle |  | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la tía | aunt |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el primo | cousin |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la prima | cousin (female) |  | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
el restaurante | restaurant |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el café | coffee | ☕ | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el té | tea | 🍵 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el agua | water | 💧 | noun | 2026-03-10 | 2026-03-10 | 1 | 0 | -1
la cerveza | beer | 🍺 | noun | 2026-03-10 | 2026-03-11 | 3 | 8 | -1
el vino | wine | 🍷 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el desayuno | breakfast | 🍳 | noun | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
el almuerzo | lunch | 🍽️ | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la cena | dinner | 🥘 | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
el pan | bread | 🍞 | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
el arroz | rice | 🍚 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la carne | meat | 🥩 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el pollo | chicken | 🐓 | noun | 2026-03-10 | 2026-03-13 | 3 | 7 | -1
el pescado | fish | 🐟 | noun | 2026-03-10 | 2026-03-12 | 4 | 9 | -1
la fruta | fruit | 🥝🫐🍎 | noun | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
la manzana | apple | 🍎 | noun | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
la naranja | orange | 🍊 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la ensalada | salad | 🥗 | noun | 2026-03-10 | 2026-03-12 | 3 | 4 | -1
el queso | cheese | 🧀 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el huevo | egg | 🥚 | noun | 2026-03-10 | 2026-03-14 | 9 | 15 | 0
la leche | milk | 🥛 | noun | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
el azúcar | sugar | 🍬 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la sal | salt | 🧂 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el aeropuerto | airport |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el hotel | hotel |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la estación | station |  | noun | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
el tren | train | 🚆 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el autobús | bus | 🚌 | noun | 2026-03-10 | 2026-03-10 | 2 | 2 | -1
el taxi | taxi | 🚕 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el boleto o la billete en España | ticket | 🎟️ | noun | 2026-03-10 | 2026-03-14 | 10 | 14 | 0
la reserva | reservation |  | noun | 2026-03-10 | 2026-03-12 | 3 | 5 | -1
la maleta | suitcase | 🧳 | noun | 2026-03-10 | 2026-03-12 | 8 | 12 | -1
el pasaporte | passport | 🪪 | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
el mapa | map | 🗺️ | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la calle | street |  | noun | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
la ciudad | city | 🏙️ | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
el país | country |  | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el mercado | market | 🏪 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la tienda | store | 🛍️ | noun | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
grande | big |  | adjective | 2026-03-10 | 2026-03-10 | 1 | 0 | -1
pequeño o pequeña | small |  | adjective | 2026-03-10 | 2026-03-10 | 1 | 0 | -1
bueno o buena | good |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
malo o mala | bad |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 3 | -1
bonito o bonita | pretty |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 4 | -1
feo o fea | ugly |  | adjective | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
nuevo o nueva | new |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
viejo o vieja | old |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
fácil | easy |  | adjective | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
difícil | difficult |  | adjective | 2026-03-10 | 2026-03-10 | 1 | 0 | -1
rápido o rápida | fast |  | adjective | 2026-03-10 | 2026-03-14 | 7 | 15 | -1
lento o lenta | slow |  | adjective | 2026-03-10 | 2026-03-14 | 7 | 9 | 0
caro o cara | expensive |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
barato o barata | cheap |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 4 | -1
feliz | happy |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
triste | sad |  | adjective | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
ocupado o ocupada | busy |  | adjective | 2026-03-10 | 2026-03-13 | 8 | 16 | 0
libre | free |  | adjective | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
(yo) hablo | I speak |  | verb form | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
(tú) hablas | you speak |  | verb form | 2026-03-10 | 2026-03-14 | 4 | 6 | -1
(él/ella/usted) habla | he/she/you speaks |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 6 | -1
(nosotros) hablamos | we speak |  | verb form | 2026-03-10 | 2026-03-14 | 8 | 12 | 0
(ellos/ellas/ustedes) hablan | they/you speak |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 8 | -1
(yo) como | I eat |  | verb form | 2026-03-10 | 2026-03-13 | 6 | 13 | -1
(tú) comes | you eat |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 9 | -1
(él/ella/usted) come | he/she/you eats |  | verb form | 2026-03-10 | 2026-03-12 | 5 | 9 | -1
(nosotros) comemos | we eat |  | verb form | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
(ellos/ellas/ustedes) comen | they/you eat |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(yo) vivo | I live |  | verb form | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
(tú) vives | you live |  | verb form | 2026-03-10 | 2026-03-11 | 4 | 8 | -1
(él/ella/usted) vive | he/she/you lives |  | verb form | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
(nosotros) vivimos | we live |  | verb form | 2026-03-10 | 2026-03-13 | 5 | 10 | -1
(ellos/ellas/ustedes) viven | they/you live |  | verb form | 2026-03-10 | 2026-03-12 | 5 | 10 | -1
(yo) soy | I am |  | verb form | 2026-03-10 | 2026-03-12 | 2 | 4 | -1
(tú) eres | you are |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 5 | -1
(él/ella/usted) es | he/she/you is (permanent) |  | verb form | 2026-03-10 | 2026-03-13 | 4 | 4 | -1
(nosotros) somos | we are |  | verb form | 2026-03-10 | 2026-03-12 | 6 | 12 | -1
(ellos/ellas/ustedes) son | they/you are |  | verb form | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
(yo) estoy | I am (temporary) |  | verb form | 2026-03-10 | 2026-03-13 | 3 | 7 | -1
(tú) estás | you are (temporary) |  | verb form | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
(él/ella/usted) está | he/she/you is (temporary) |  | verb form | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
(nosotros) estamos | we are (temporary) |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 7 | -1
(ellos/ellas/ustedes) están | they/you are (temporary) |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 9 | -1
(yo) tengo | I have |  | verb form | 2026-03-10 | 2026-03-13 | 8 | 17 | -1
(tú) tienes | you have |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 9 | -1
(él/ella/usted) tiene | he/she/you has |  | verb form | 2026-03-10 | 2026-03-12 | 7 | 12 | -1
(nosotros) tenemos | we have |  | verb form | 2026-03-10 | 2026-03-12 | 5 | 11 | -1
(ellos/ellas/ustedes) tienen | they/you have |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(yo) voy | I go |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(tú) vas | you go |  | verb form | 2026-03-10 | 2026-03-12 | 5 | 8 | -1
(él/ella/usted) va | he/she/you goes |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 6 | -1
(nosotros) vamos | we go |  | verb form | 2026-03-10 | 2026-03-12 | 7 | 15 | -1
(ellos/ellas/ustedes) van | they/you go |  | verb form | 2026-03-10 | 2026-03-12 | 6 | 12 | -1
(yo) hago | I do |  | verb form | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
(tú) haces | you do |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(él/ella/usted) hace | he/she/you does |  | verb form | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
(nosotros) hacemos | we do |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(ellos/ellas/ustedes) hacen | they/you do |  | verb form | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
(yo) digo | I say |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(tú) dices | you say |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 9 | -1
(él/ella/usted) dice | he/she/you says |  | verb form | 2026-03-10 | 2026-03-12 | 6 | 9 | -1
(nosotros) decimos | we say |  | verb form | 2026-03-10 | 2026-03-12 | 5 | 11 | -1
(ellos/ellas/ustedes) dicen | they/you say |  | verb form | 2026-03-10 | 2026-03-12 | 5 | 10 | -1
(yo) puedo | I can |  | verb form | 2026-03-10 | 2026-03-13 | 3 | 7 | -1
(tú) puedes | you can |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(él/ella/usted) puede | he/she/you can |  | verb form | 2026-03-10 | 2026-03-13 | 1 | 3 | -1
(nosotros) podemos | we can |  | verb form | 2026-03-10 | 2026-03-13 | 4 | 9 | -1
(ellos/ellas/ustedes) pueden | they/you can |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 5 | -1
(yo) quiero | I want |  | verb form | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
(tú) quieres | you want |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 6 | -1
(él/ella/usted) quiere | he/she/you wants |  | verb form | 2026-03-10 | 2026-03-13 | 5 | 11 | -1
(nosotros) queremos | we want |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(ellos/ellas/ustedes) quieren | they/you want |  | verb form | 2026-03-10 | 2026-03-12 | 5 | 10 | -1
(yo) pienso | I think |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
(tú) piensas | you think |  | verb form | 2026-03-10 | 2026-03-13 | 5 | 9 | -1
(él/ella/usted) piensa | he/she/you thinks |  | verb form | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
(nosotros) pensamos | we think |  | verb form | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
(ellos/ellas/ustedes) piensan | they think |  | verb form | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
(yo) duermo | I sleep |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 6 | -1
(tú) duermes | you sleep |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 6 | -1
(él/ella/usted) duerme | he/she/you sleeps |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 8 | -1
(nosotros) dormimos | we sleep |  | verb form | 2026-03-10 | 2026-03-13 | 2 | 5 | -1
(ellos/ellas/ustedes) duermen | they/you sleep |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
tengo hambre | I am hungry |  | verb form | 2026-03-10 | 2026-03-13 | 3 | 6 | -1
tengo sed | I am thirsty |  | verb form | 2026-03-10 | 2026-03-13 | 5 | 9 | -1
tengo frío | I am cold |  | verb form | 2026-03-10 | 2026-03-12 | 8 | 13 | -1
tengo calor | I am hot |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 4 | -1
me gusta | I like |  | verb form | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
no me gusta | I don't like |  | verb form | 2026-03-10 | 2026-03-12 | 5 | 11 | -1
me gusta el café | I like coffee | ☕ | verb form | 2026-03-10 | 2026-03-14 | 8 | 14 | 0
me gusta viajar | I like traveling |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 8 | -1
quiero aprender español | I want to learn Spanish |  | verb form | 2026-03-10 | 2026-03-12 | 8 | 11 | -1
necesito practicar | I need to practice |  | verb form | 2026-03-10 | 2026-03-12 | 4 | 9 | -1
voy al restaurante | I go to the restaurant |  | verb form | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
estoy en el hotel | I am in the hotel |  | verb form | 2026-03-10 | 2026-03-12 | 2 | 3 | -1
vamos a comer | let's eat |  | phrase | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
vamos a viajar | let's travel |  | phrase | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el hombre | man | 🧔🏻 | noun | 2026-03-10 | 2026-03-12 | 3 | 6 | -1
la mujer | woman | 👩🏻 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la persona | person | 👤 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la gente | people | 🧔🏻👩🏻👩 | noun | 2026-03-10 | 2026-03-11 | 2 | 3 | -1
el amigo | friend | 🧔🏻 | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la amiga | female friend | 👩🏻 | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
el trabajo | work/job |  | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el dinero | money | 💰 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el tiempo | time/weather | 🕓 | noun | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
el día | day | 📅 | noun | 2026-03-10 | 2026-03-13 | 3 | 4 | -1
la noche | night | 🌙 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la mañana | morning |  | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la tarde | afternoon |  | noun | 2026-03-10 | 2026-03-12 | 3 | 6 | -1
la semana | week |  | noun | 2026-03-10 | 2026-03-11 | 4 | 9 | -1
el año | year |  | noun | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
la hora | hour |  | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el minuto | minute |  | noun | 2026-03-10 | 2026-03-12 | 3 | 7 | -1
el segundo | second |  | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la vida | life |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el mundo | world | 🌍 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la casa | house | 🏠 | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el apartamento | apartment |  | noun | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
la habitación | room |  | noun | 2026-03-10 | 2026-03-12 | 2 | 4 | -1
la cocina | kitchen |  | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la puerta | door | 🚪 | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la ventana | window |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la mesa | table | 🍽️ | noun | 2026-03-10 | 2026-03-12 | 2 | 3 | -1
la silla | chair | 🪑 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la cama | bed | 🛏️ | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el sofá | sofa | 🛋️ | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la televisión | television | 📺 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el teléfono | phone | 📱 | noun | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
la computadora | computer | 💻 | noun | 2026-03-10 | 2026-03-13 | 5 | 6 | -1
el internet | internet |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
el libro | book | 📚 | noun | 2026-03-10 | 2026-03-11 | 3 | 6 | -1
la página | page | 📄 | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la palabra | word |  | noun | 2026-03-10 | 2026-03-11 | 3 | 4 | -1
la frase | sentence |  | noun | 2026-03-10 | 2026-03-14 | 5 | 4 | 0
la pregunta | question |  | noun | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
la respuesta | answer |  | noun | 2026-03-10 | 2026-03-12 | 2 | 2 | -1
el problema | problem |  | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
la solución | solution |  | noun | 2026-03-10 | 2026-03-12 | 2 | 4 | -1
la idea | idea |  | noun | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
el ejemplo | example |  | noun | 2026-03-10 | 2026-03-10 | 1 | 0 | -1
la historia | story |  | noun | 2026-03-10 | 2026-03-11 | 2 | 3 | -1
importante | important |  | miscellaneous | 2026-03-10 | 2026-03-12 | 4 | 7 | -1
posible | possible |  | miscellaneous | 2026-03-10 | 2026-03-11 | 1 | 3 | -1
necesario o necesaria | necessary |  | adjective | 2026-03-10 | 2026-03-14 | 3 | 6 | -1
diferente | different |  | miscellaneous | 2026-03-10 | 2026-03-11 | 3 | 7 | -1
igual | equal |  | miscellaneous | 2026-03-10 | 2026-03-12 | 9 | 10 | -1
seguro | sure |  | miscellaneous | 2026-03-10 | 2026-03-14 | 12 | 18 | 0
claro | clear / of course |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
listo | ready |  | miscellaneous | 2026-03-10 | 2026-03-12 | 3 | 6 | -1
cansado | tired | 🫩 | miscellaneous | 2026-03-10 | 2026-03-12 | 1 | 3 | -1
enfermo | sick | 🤢 | miscellaneous | 2026-03-10 | 2026-03-12 | 5 | 11 | -1
sano | healthy | 🌱 | miscellaneous | 2026-03-10 | 2026-03-11 | 2 | 5 | -1
fuerte | strong | 💪 | miscellaneous | 2026-03-10 | 2026-03-13 | 7 | 15 | -1
débil | weak |  | miscellaneous | 2026-03-10 | 2026-03-12 | 2 | 5 | -1
